job_id,industry_id
4155573193,11
4151831814,1810
4151831814,1594
4151831814,3242
4156857672,96
4123653294,96
4124109063,42
4146869152,14
4142282847,6
4151560508,4
4147552562,4
4147552562,68
4133682516,43
4133682516,10
4133682516,96
4130455391,6
4157630252,96
4137247873,4
4155804089,80
4115485300,1810
4146731292,6
4109060683,98
4124735410,4
4098338877,4
4139850822,4
4154779960,41
4136123703,43
4155596665,80
4142782665,80
4109051806,6
3967994817,104
4142271915,96
4133680626,43
4133680626,10
4133680626,96
4127873080,4
4151580474,4
4129807362,4
4153891872,96
4150592464,1862
4120701336,4
4145639672,96
4129616097,41
4117259825,80
4142320898,105
4142320898,1999
4142320898,91
4104391783,1594
4145646117,6
4137079782,126
4133970635,4
4151082702,96
4055264240,104
4102626217,4
4037151117,96
4158447666,96
4143623958,104
4143623958,41
4143623958,43
4153210310,6
4101279875,2458
4101279875,6
4101279875,4
4125195869,14
4131738186,43
4143454379,6
4156604762,96
4155119850,96
4115156626,4
4157304579,104
4157304579,1594
4157304579,3102
4119096057,6
4149956256,4
3931995254,6
4149744036,4
4139496836,123
4133682517,43
4133682517,10
4133682517,96
4161840508,1594
4167328015,4
4167328015,68
4163605080,6
4167195417,4
4158263254,4
4158263254,96
4165492016,96
4167195418,4
4137173102,3231
4161840509,1594
4127575267,34
4122601239,96
4167192735,4
4168675755,4
4159631849,4
4162965318,4
4153149484,11
4153149484,84
4150249842,16
4079912360,6
4167589953,96
4167196173,4
4155461953,1810
4162631128,1862
4162631128,80
4113719634,4
4168636274,6
4129180646,11
4161835905,1594
4131112253,132
4159727353,43
4159727353,10
4159727353,96
4148670405,96
4131112261,1594
4165253939,1999
4161841186,1594
4168480855,96
4167174212,83
4163829235,80
4167835144,48
4167835144,55
4131107702,1594
4131114178,1594
4167190789,4
4152617962,43
4166766720,80
4161839650,1594
3939466319,4
4161843022,1594
4167195421,4
4161552096,96
4131112260,1594
4113226767,4
4163525885,96
4160392268,96
4162985138,84
4150178151,6
4166875305,4
4157787704,96
4131110439,1594
4163833125,80
4161015625,15
4161839649,1594
4158252918,41
4158252918,45
4158252918,43
4118585645,6
4131114177,1594
4131113196,1594
4163562379,4
4167196175,4
4167191785,4
4158197212,11
4159759688,6
4161565916,4
4086078056,6
4161551836,43
4168606640,43
4168606640,10
4168606640,96
4168051315,11
4160613059,96
4154584371,3102
4154584371,96
4154584371,1855
4152620470,43
4166732090,96
4116481492,11
4129601077,96
4168485370,96
4160811472,6
4152619647,43
4163828916,80
4161838622,1594
4160666038,6
4168610168,43
4168610168,10
4168610168,96
4167360917,1285
4167360917,1594
4167360917,4
4167190792,4
4131109531,1594
4138217543,124
4155457435,44
